ranks,ballotID,rank1,rank2,rank3,rank4
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3918,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3919,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley']",3920,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
"['Sarah A. Lucido', 'Sarah A. Lucido', 'skipped', 'skipped']",3921,Sarah A. Lucido,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",3922,Mary Hall-Rayford,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3923,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3924,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3925,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",3926,Larry Edwards,skipped,skipped,skipped
"['Harvey Curley', 'Harvey Curley', 'Harvey Curley', 'Harvey Curley']",3927,Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",3928,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",3929,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3930,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'writein', 'writein']",3931,Harvey Curley,Sarah A. Lucido,writein,writein
