ranks,ballotID,rank1,rank2,rank3
"['JOEL ENGARDIO', 'BEN MATRANGA', 'skipped']",34244,JOEL ENGARDIO,BEN MATRANGA,skipped
"['NORMAN YEE', 'MIKE YOUNG', 'JOHN FARRELL']",34245,NORMAN YEE,MIKE YOUNG,JOHN FARRELL
"['NORMAN YEE', 'JOHN FARRELL', 'BEN MATRANGA']",34246,NORMAN YEE,JOHN FARRELL,BEN MATRANGA
"['NORMAN YEE', 'JOHN FARRELL', 'BEN MATRANGA']",34247,NORMAN YEE,JOHN FARRELL,BEN MATRANGA
"['NORMAN YEE', 'skipped', 'skipped']",34248,NORMAN YEE,skipped,skipped
"['JOEL ENGARDIO', 'BEN MATRANGA', 'skipped']",34249,JOEL ENGARDIO,BEN MATRANGA,skipped
"['BEN MATRANGA', 'skipped', 'skipped']",34250,BEN MATRANGA,skipped,skipped
"['NORMAN YEE', 'BEN MATRANGA', 'skipped']",34251,NORMAN YEE,BEN MATRANGA,skipped
"['NORMAN YEE', 'skipped', 'skipped']",34252,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'JOHN FARRELL', 'skipped']",34253,NORMAN YEE,JOHN FARRELL,skipped
"['NORMAN YEE', 'MIKE YOUNG', 'JOEL ENGARDIO']",34254,NORMAN YEE,MIKE YOUNG,JOEL ENGARDIO
"['JOEL ENGARDIO', 'BEN MATRANGA', 'NORMAN YEE']",34255,JOEL ENGARDIO,BEN MATRANGA,NORMAN YEE
"['JOEL ENGARDIO', 'skipped', 'BEN MATRANGA']",34256,JOEL ENGARDIO,skipped,BEN MATRANGA
"['JOHN FARRELL', 'BEN MATRANGA', 'JOEL ENGARDIO']",34257,JOHN FARRELL,BEN MATRANGA,JOEL ENGARDIO
"['JOHN FARRELL', 'MIKE YOUNG', 'NORMAN YEE']",34258,JOHN FARRELL,MIKE YOUNG,NORMAN YEE
"['JOEL ENGARDIO', 'NORMAN YEE', 'MIKE YOUNG']",34259,JOEL ENGARDIO,NORMAN YEE,MIKE YOUNG
"['MIKE YOUNG', 'JOHN FARRELL', 'BEN MATRANGA']",34260,MIKE YOUNG,JOHN FARRELL,BEN MATRANGA
"['NORMAN YEE', 'BEN MATRANGA', 'skipped']",34261,NORMAN YEE,BEN MATRANGA,skipped
"['BEN MATRANGA', 'skipped', 'skipped']",34262,BEN MATRANGA,skipped,skipped
"['JOEL ENGARDIO', 'BEN MATRANGA', 'NORMAN YEE']",34263,JOEL ENGARDIO,BEN MATRANGA,NORMAN YEE
"['NORMAN YEE', 'JOEL ENGARDIO', 'MIKE YOUNG']",34264,NORMAN YEE,JOEL ENGARDIO,MIKE YOUNG
"['MIKE YOUNG', 'JOEL ENGARDIO', 'NORMAN YEE']",34265,MIKE YOUNG,JOEL ENGARDIO,NORMAN YEE
"['NORMAN YEE', 'BEN MATRANGA', 'JOEL ENGARDIO']",34266,NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO
"['JOEL ENGARDIO', 'BEN MATRANGA', 'JOHN FARRELL']",34267,JOEL ENGARDIO,BEN MATRANGA,JOHN FARRELL
"['NORMAN YEE', 'JOEL ENGARDIO', 'skipped']",34268,NORMAN YEE,JOEL ENGARDIO,skipped
