ranks,ballotID,rank1,rank2,rank3
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3076,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['skipped', 'skipped', 'skipped']",3077,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",3078,skipped,skipped,skipped
"['NEHANDA IMARA', 'skipped', 'skipped']",3079,NEHANDA IMARA,skipped,skipped
"['NEHANDA IMARA', 'NEHANDA IMARA', 'NEHANDA IMARA']",3080,NEHANDA IMARA,NEHANDA IMARA,NEHANDA IMARA
"['LARRY E. REID', 'skipped', 'skipped']",3081,LARRY E. REID,skipped,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3082,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3083,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3084,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3085,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3086,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3087,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['skipped', 'skipped', 'skipped']",3088,skipped,skipped,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'MARCIE HODGE']",3089,LARRY E. REID,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'skipped', 'skipped']",3090,LARRY E. REID,skipped,skipped
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3091,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3092,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3093,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3094,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['skipped', 'skipped', 'skipped']",3095,skipped,skipped,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'LARRY E. REID']",3096,LARRY E. REID,MARCIE HODGE,LARRY E. REID
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3097,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'LARRY E. REID']",3098,LARRY E. REID,MARCIE HODGE,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3099,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3100,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3101,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3102,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3103,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3104,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['LARRY E. REID', 'MARCIE HODGE', 'MARCIE HODGE']",3105,LARRY E. REID,MARCIE HODGE,MARCIE HODGE
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3106,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3107,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['skipped', 'skipped', 'skipped']",3108,skipped,skipped,skipped
